"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 16 03:33:26 UTC 2023","Sat Sep 16 03:33:38 UTC 2023","12327","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sat Sep 16 02:44:20 UTC 2023","Sat Sep 16 02:44:20 UTC 2023","825","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Sep 16 03:53:40 UTC 2023","Sat Sep 16 03:53:49 UTC 2023","9300","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sat Sep 16 04:03:15 UTC 2023","Sat Sep 16 04:03:18 UTC 2023","2655","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Sep 16 02:43:18 UTC 2023","Sat Sep 16 02:43:20 UTC 2023","1883","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Sep 16 02:43:20 UTC 2023","Sat Sep 16 02:43:33 UTC 2023","13473","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Sep 16 04:00:18 UTC 2023","Sat Sep 16 04:00:18 UTC 2023","29","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sat Sep 16 02:21:41 UTC 2023","Sat Sep 16 02:21:49 UTC 2023","7236","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Sep 16 03:26:07 UTC 2023","Sat Sep 16 03:26:32 UTC 2023","25055","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sat Sep 16 03:33:42 UTC 2023","Sat Sep 16 03:33:44 UTC 2023","2611","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Sep 16 02:18:47 UTC 2023","Sat Sep 16 02:19:00 UTC 2023","12133","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sat Sep 16 03:34:24 UTC 2023","Sat Sep 16 03:34:26 UTC 2023","2495","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Sep 16 03:14:47 UTC 2023","Sat Sep 16 03:14:59 UTC 2023","11393","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"broken","Sat Sep 16 03:08:11 UTC 2023","Sat Sep 16 03:08:11 UTC 2023","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Sep 16 02:33:48 UTC 2023","Sat Sep 16 02:33:50 UTC 2023","1996","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Sep 16 04:12:26 UTC 2023","Sat Sep 16 04:12:27 UTC 2023","1175","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Sep 16 02:16:57 UTC 2023","Sat Sep 16 02:16:57 UTC 2023","63","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sat Sep 16 02:43:55 UTC 2023","Sat Sep 16 02:43:57 UTC 2023","1668","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Sep 16 03:50:41 UTC 2023","Sat Sep 16 03:51:03 UTC 2023","21654","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Sep 16 02:46:49 UTC 2023","Sat Sep 16 02:47:03 UTC 2023","14020","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sat Sep 16 03:56:10 UTC 2023","Sat Sep 16 03:56:24 UTC 2023","14687","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Sat Sep 16 02:17:09 UTC 2023","Sat Sep 16 02:17:09 UTC 2023","10","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Sep 16 03:00:30 UTC 2023","Sat Sep 16 03:00:49 UTC 2023","19260","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Sep 16 02:21:49 UTC 2023","Sat Sep 16 02:22:44 UTC 2023","55694","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Sep 16 03:33:51 UTC 2023","Sat Sep 16 03:33:54 UTC 2023","2736","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat Sep 16 02:44:18 UTC 2023","Sat Sep 16 02:44:19 UTC 2023","1759","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Sep 16 03:33:44 UTC 2023","Sat Sep 16 03:33:47 UTC 2023","3088","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"failed","Sat Sep 16 02:55:55 UTC 2023","Sat Sep 16 02:57:53 UTC 2023","118380","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Sep 16 03:20:21 UTC 2023","Sat Sep 16 03:20:40 UTC 2023","19236","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Sep 16 03:53:52 UTC 2023","Sat Sep 16 03:53:53 UTC 2023","1157","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Sep 16 02:36:34 UTC 2023","Sat Sep 16 02:36:37 UTC 2023","2269","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Sep 16 02:39:17 UTC 2023","Sat Sep 16 02:39:19 UTC 2023","2392","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Sep 16 04:03:02 UTC 2023","Sat Sep 16 04:03:07 UTC 2023","5614","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sat Sep 16 03:20:41 UTC 2023","Sat Sep 16 03:20:46 UTC 2023","4996","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Sep 16 04:04:02 UTC 2023","Sat Sep 16 04:05:01 UTC 2023","58662","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sat Sep 16 02:19:00 UTC 2023","Sat Sep 16 02:19:36 UTC 2023","35947","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sat Sep 16 02:36:56 UTC 2023","Sat Sep 16 02:37:03 UTC 2023","7260","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Sep 16 04:12:35 UTC 2023","Sat Sep 16 04:12:56 UTC 2023","21667","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sat Sep 16 04:12:57 UTC 2023","Sat Sep 16 04:12:58 UTC 2023","1516","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Sep 16 03:20:40 UTC 2023","Sat Sep 16 03:20:41 UTC 2023","631","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sat Sep 16 02:46:46 UTC 2023","Sat Sep 16 02:46:49 UTC 2023","2951","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Sep 16 02:28:44 UTC 2023","Sat Sep 16 02:28:47 UTC 2023","3108","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sat Sep 16 03:34:14 UTC 2023","Sat Sep 16 03:34:24 UTC 2023","9332","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Sep 16 02:43:33 UTC 2023","Sat Sep 16 02:43:37 UTC 2023","4148","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Sep 16 02:46:18 UTC 2023","Sat Sep 16 02:46:37 UTC 2023","18754","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Sep 16 03:14:46 UTC 2023","Sat Sep 16 03:14:47 UTC 2023","1326","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sat Sep 16 02:47:03 UTC 2023","Sat Sep 16 02:47:09 UTC 2023","6254","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Sep 16 02:31:54 UTC 2023","Sat Sep 16 02:32:04 UTC 2023","9681","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Sep 16 02:43:57 UTC 2023","Sat Sep 16 02:44:17 UTC 2023","20415","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Sep 16 03:43:22 UTC 2023","Sat Sep 16 03:43:37 UTC 2023","15340","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Sep 16 02:47:36 UTC 2023","Sat Sep 16 02:47:38 UTC 2023","1765","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Sep 16 03:53:15 UTC 2023","Sat Sep 16 03:53:34 UTC 2023","18995","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sat Sep 16 03:59:48 UTC 2023","Sat Sep 16 04:00:07 UTC 2023","19876","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Sep 16 02:26:46 UTC 2023","Sat Sep 16 02:27:04 UTC 2023","18196","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Sep 16 02:33:34 UTC 2023","Sat Sep 16 02:33:48 UTC 2023","13921","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sat Sep 16 03:14:05 UTC 2023","Sat Sep 16 03:14:16 UTC 2023","11185","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Sep 16 02:43:09 UTC 2023","Sat Sep 16 02:43:18 UTC 2023","8839","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Sep 16 02:38:25 UTC 2023","Sat Sep 16 02:39:17 UTC 2023","52206","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Sep 16 02:47:25 UTC 2023","Sat Sep 16 02:47:36 UTC 2023","10948","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Sep 16 04:12:08 UTC 2023","Sat Sep 16 04:12:23 UTC 2023","14753","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sat Sep 16 02:28:55 UTC 2023","Sat Sep 16 02:28:56 UTC 2023","686","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Sep 16 02:21:19 UTC 2023","Sat Sep 16 02:21:41 UTC 2023","21985","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Sep 16 02:27:11 UTC 2023","Sat Sep 16 02:27:19 UTC 2023","8539","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sat Sep 16 03:26:32 UTC 2023","Sat Sep 16 03:26:34 UTC 2023","1834","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Sep 16 03:26:34 UTC 2023","Sat Sep 16 03:27:16 UTC 2023","41966","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sat Sep 16 03:25:50 UTC 2023","Sat Sep 16 03:26:04 UTC 2023","14305","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Sep 16 02:47:38 UTC 2023","Sat Sep 16 02:47:39 UTC 2023","492","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Sep 16 03:18:14 UTC 2023","Sat Sep 16 03:18:31 UTC 2023","16980","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Sep 16 03:53:40 UTC 2023","Sat Sep 16 03:53:40 UTC 2023","462","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Sep 16 03:26:04 UTC 2023","Sat Sep 16 03:26:06 UTC 2023","1851","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Sep 16 03:53:50 UTC 2023","Sat Sep 16 03:53:52 UTC 2023","2464","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sat Sep 16 02:26:44 UTC 2023","Sat Sep 16 02:26:46 UTC 2023","1899","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Sep 16 04:00:18 UTC 2023","Sat Sep 16 04:00:20 UTC 2023","2355","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sat Sep 16 03:14:44 UTC 2023","Sat Sep 16 03:14:46 UTC 2023","2324","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sat Sep 16 03:33:38 UTC 2023","Sat Sep 16 03:33:42 UTC 2023","3534","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Sep 16 04:00:08 UTC 2023","Sat Sep 16 04:00:17 UTC 2023","9960","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sat Sep 16 03:56:24 UTC 2023","Sat Sep 16 03:57:26 UTC 2023","61301","","21. Forgot password function","","","","2. Reset password",""
"passed","Sat Sep 16 03:33:59 UTC 2023","Sat Sep 16 03:34:14 UTC 2023","15816","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Sep 16 02:42:52 UTC 2023","Sat Sep 16 02:43:09 UTC 2023","16621","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Sep 16 03:51:15 UTC 2023","Sat Sep 16 03:51:19 UTC 2023","4274","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Sep 16 03:53:53 UTC 2023","Sat Sep 16 03:53:54 UTC 2023","1074","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Sep 16 02:16:57 UTC 2023","Sat Sep 16 02:17:09 UTC 2023","11587","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Sep 16 02:31:24 UTC 2023","Sat Sep 16 02:31:32 UTC 2023","7629","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sat Sep 16 02:31:04 UTC 2023","Sat Sep 16 02:31:24 UTC 2023","19924","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Sep 16 02:27:04 UTC 2023","Sat Sep 16 02:27:11 UTC 2023","6299","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Sep 16 03:18:13 UTC 2023","Sat Sep 16 03:18:14 UTC 2023","318","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sat Sep 16 03:14:04 UTC 2023","Sat Sep 16 03:14:05 UTC 2023","718","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
